一覧
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
54	高知	高知放送	④	55312	31890	7C92
54	高知	テレビ高知	⑥	55320	31891	7C93
54	高知	さんさんテレビ	⑧	55328	31892	7C94
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
55	福岡	ＮＨＫ総合・福岡	③	56320	31872	7C80
55	福岡	ＮＨＫ総合・北九州	③	56832	30848	7880
55	福岡	ＮＨＫＥテレ福岡	②	56328	31873	7C81
55	福岡	ＮＨＫＥテレ北九州	②	56840	30849	7881
55	福岡	ＫＢＣ九州朝日放送	①	56336	31874	7C82
55	福岡	ＲＫＢ毎日放送	④	56344	31875	7C83
55	福岡	ＦＢＳ福岡放送	⑤	56352	31876	7C84
55	福岡	ＴＶＱ九州放送	⑦	56360	31877	7C85
55	福岡	ＴＮＣテレビ西日本	⑧	56368	31878	7C86
56	熊本	ＮＨＫ総合・熊本	①	57344	31856	7C70
56	熊本	ＮＨＫＥテレ熊本	②	57352	31857	7C71
56	熊本	ＲＫＫ熊本放送	③	57360	31858	7C72
56	熊本	ＴＫＵテレビ熊本	⑧	57368	31859	7C73
56	熊本	ＫＫＴくまもと県民	④	57376	31860	7C74
56	熊本	ＫＡＢ熊本朝日放送	⑤	57384	31861	7C75
57	長崎	ＮＨＫ総合・長崎	①	58368	31840	7C60
57	長崎	ＮＨＫＥテレ長崎	②	58376	31841	7C61
57	長崎	ＮＢＣ長崎放送	③	58384	31842	7C62
57	長崎	ＫＴＮテレビ長崎	⑧	58392	31843	7C63
57	長崎	ＮＣＣ長崎文化放送	⑤	58400	31844	7C64
57	長崎	ＮＩＢ長崎国際テレビ	④	58408	31845	7C65
58	鹿児島	ＮＨＫ総合・鹿児島	③	59392	31824	7C50
58	鹿児島	ＮＨＫＥテレ鹿児島	②	59400	31825	7C51
58	鹿児島	ＭＢＣ南日本放送	①	59408	31826	7C52
58	鹿児島	ＫＴＳ鹿児島テレビ	⑧	59416	31827	7C53
58	鹿児島	ＫＫＢ鹿児島放送	⑤	59424	31828	7C54
58	鹿児島	ＫＹＴ鹿児島読売ＴＶ	④	59432	31829	7C55
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
59	宮崎	ＮＨＫ総合・宮崎	①	60416	31808	7C40
59	宮崎	ＮＨＫＥテレ宮崎	②	60424	31809	7C41
59	宮崎	ＭＲＴ宮崎放送	⑥	60432	31810	7C42
59	宮崎	ＵＭＫテレビ宮崎	③	60440	31811	7C43
60	大分	ＮＨＫ総合・大分	①	61440	31792	7C30
60	大分	ＮＨＫＥテレ大分	②	61448	31793	7C31
60	大分	ＯＢＳ大分放送	③	61456	31794	7C32
60	大分	ＴＯＳテレビ大分	④	61464	31795	7C33
60	大分	ＯＡＢ大分朝日放送	⑤	61472	31796	7C34
61	佐賀	ＮＨＫ総合・佐賀	①	62464	31776	7C20
61	佐賀	ＮＨＫＥテレ佐賀	②	62472	31777	7C21
61	佐賀	ＳＴＳサガテレビ	③	62480	31778	7C22
62	沖縄	ＮＨＫ総合・沖縄	①	63488	31760	7C10
62	沖縄	ＮＨＫＥテレ沖縄	②	63496	31761	7C11
62	沖縄	ＲＢＣテレビ	③	63504	31762	7C12
62	沖縄	ＱＡＢ琉球朝日放送	⑤	63520	31764	7C14
62	沖縄	沖縄テレビ（ＯＴＶ）	⑧	63544	31767	7C17
